first,second,third,forth,Class
845,915,975,1020,0
844,914,975,1021,0
843,914,976,1021,0
842,914,974,1021,0
842,914,975,1022,0
842,914,975,1021,0
842,915,974,1021,0
841,915,975,1022,0
841,915,975,1021,0
842,915,974,1022,0
842,915,974,1022,0
842,914,974,1022,0
842,914,975,1021,0
843,915,974,1021,0
844,914,975,1021,0
845,914,975,1021,0
846,914,975,1021,0
846,915,974,1021,0
845,915,974,1020,0
845,914,974,1021,0
845,914,974,1021,0
845,915,974,1021,0
845,914,975,1022,0
845,914,974,1022,0
844,914,975,1021,0
845,914,975,1020,0
845,914,974,1021,0
844,914,975,1021,0
846,914,975,1022,0
847,914,974,1022,0
847,914,976,1021,0
847,914,975,1021,0
846,914,975,1022,0
845,914,974,1021,0
844,914,974,1021,0
843,913,974,1021,0
843,914,974,1022,0
843,914,975,1021,0
843,913,974,1021,0
842,913,974,1022,0
841,914,974,1021,0
841,914,974,1021,0
840,914,973,1022,0
840,914,975,1021,0
840,914,974,1022,0
839,914,974,1021,0
840,914,973,1021,0
839,913,974,1022,0
840,914,975,1021,0
841,914,974,1021,0
842,913,974,1021,0
842,913,975,1020,0
843,914,974,1021,0
842,913,974,1021,0
844,913,975,1021,0
845,914,975,1021,0
845,914,975,1022,0
842,913,974,1021,0
839,913,974,1021,0
837,913,973,1021,0
835,913,974,1021,0
837,913,973,1020,0
836,913,973,1021,0
838,913,973,1021,0
841,913,974,1021,0
840,914,974,1021,0
841,913,974,1021,0
841,913,974,1021,0
840,913,974,1021,0
837,913,974,1022,0
834,913,974,1021,0
834,913,973,1021,0
832,913,974,1021,0
832,913,974,1021,0
831,913,973,1021,0
830,913,972,1021,0
831,913,972,1021,0
831,914,972,1021,0
830,913,973,1021,0
829,913,973,1022,0
828,913,974,1021,0
828,913,972,1021,0
828,913,973,1021,0
829,913,973,1021,0
830,913,972,1020,0
825,913,972,1021,0
819,913,973,1021,0
816,913,972,1021,0
814,913,971,1022,0
814,913,971,1021,0
818,913,972,1021,0
825,913,972,1021,0
831,913,972,1020,0
832,912,972,1021,0
828,913,973,1021,0
824,913,972,1021,0
823,912,972,1021,0
826,913,972,1021,0
825,913,972,1021,0
824,913,971,1021,0
826,913,971,1021,0
828,912,973,1020,0
834,913,972,1021,0
840,912,974,1021,0
844,913,974,1021,0
845,912,974,1021,0
844,912,974,1020,0
843,912,974,1022,0
842,912,973,1021,0
843,911,973,1022,0
842,912,974,1021,0
843,912,974,1021,0
842,912,974,1021,0
839,912,974,1021,0
838,912,974,1020,0
838,911,973,1020,0
836,911,974,1021,0
836,912,973,1021,0
836,912,973,1020,0
836,912,973,1021,0
836,911,973,1022,0
836,912,974,1022,0
835,912,974,1021,0
835,912,973,1021,0
835,911,973,1022,0
835,911,974,1021,0
837,912,973,1021,0
836,911,973,1021,0
835,912,973,1021,0
834,912,973,1021,0
835,912,973,1020,0
834,912,972,1021,0
834,911,973,1021,0
835,912,972,1020,0
835,911,974,1021,0
837,911,973,1020,0
836,911,973,1020,0
834,912,972,1020,0
833,912,972,1021,0
834,911,974,1021,0
833,912,973,1021,0
832,912,973,1022,0
829,911,973,1021,0
828,911,972,1021,0
827,910,972,1021,0
825,911,972,1021,0
825,910,972,1021,0
824,912,972,1021,0
825,912,972,1021,0
828,912,973,1021,0
830,911,972,1021,0
831,911,973,1020,0
832,911,972,1020,0
832,911,972,1021,0
832,911,973,1020,0
834,911,972,1021,0
835,911,972,1020,0
836,911,973,1020,0
832,911,973,1022,0
826,911,972,1021,0
816,911,971,1021,0
807,911,971,1021,0
804,910,969,1021,0
805,910,970,1020,0
811,911,970,1021,0
810,911,969,1020,0
806,910,969,1022,0
807,911,969,1021,0
807,912,969,1021,0
815,911,969,1021,0
820,911,971,1021,0
820,911,970,1020,0
821,911,971,1021,0
819,911,971,1021,0
821,911,971,1021,0
821,910,970,1021,0
820,910,971,1021,0
821,911,971,1021,0
820,911,971,1021,0
817,911,972,1022,0
810,910,970,1021,0
802,911,970,1021,0
798,910,969,1020,0
793,910,968,1022,0
783,909,968,1021,0
780,910,966,1022,0
792,910,967,1022,0
795,909,967,1021,0
798,909,968,1021,0
796,910,968,1021,0
796,909,968,1021,0
801,910,968,1021,0
806,909,968,1021,0
818,910,969,1021,0
826,910,970,1022,0
813,909,970,1021,0
804,910,969,1021,0
798,909,968,1021,0
800,909,969,1020,0
808,910,968,1021,0
817,909,970,1021,0
820,910,969,1021,0
822,910,971,1021,0
822,910,971,1022,0
821,910,971,1019,0
818,910,971,1021,0
817,909,970,1022,0
818,910,971,1021,0
817,910,970,1021,0
815,910,971,1021,0
815,909,971,1021,0
814,909,971,1021,0
815,909,970,1021,0
815,909,971,1021,0
815,909,971,1021,0
814,909,970,1020,0
813,909,970,1021,0
815,909,971,1022,0
817,909,971,1021,0
817,909,971,1021,0
820,909,971,1021,0
823,909,971,1020,0
825,909,971,1021,0
826,909,971,1021,0
824,908,971,1022,0
825,909,971,1021,0
825,909,971,1021,0
824,908,971,1022,0
824,908,971,1020,0
824,908,970,1021,0
824,908,970,1021,0
824,909,971,1020,0
821,908,970,1021,0
819,908,970,1021,0
816,908,970,1021,0
814,909,970,1021,0
813,908,970,1020,0
813,909,970,1021,0
813,909,970,1020,0
815,909,970,1021,0
815,909,970,1021,0
815,908,970,1021,0
817,909,970,1020,0
818,908,970,1020,0
818,909,970,1020,0
817,909,971,1021,0
815,908,970,1021,0
813,908,969,1020,0
812,908,969,1021,0
809,908,969,1021,0
809,908,969,1020,0
809,908,969,1021,0
809,908,969,1020,0
810,908,969,1021,0
812,908,970,1020,0
809,908,969,1020,0
809,908,970,1022,0
811,908,969,1020,0
812,908,969,1020,0
811,909,969,1020,0
808,908,969,1021,0
807,908,969,1021,0
805,908,970,1020,0
806,908,969,1020,0
808,908,969,1021,0
808,909,970,1021,0
805,908,968,1020,0
803,908,968,1021,0
801,908,969,1021,0
802,908,969,1021,0
802,908,968,1021,0
800,908,968,1020,0
799,909,969,1020,0
800,908,969,1021,0
802,908,969,1020,0
803,908,969,1020,0
