0,1,2,3
793,884,968,1020
792,884,967,1020
792,884,967,1020
792,884,968,1021
792,883,968,1020
791,884,968,1020
792,884,967,1020
792,883,967,1020
792,883,967,1021
791,884,967,1020
791,884,966,1021
791,883,966,1020
790,883,967,1021
790,882,966,1020
789,883,967,1020
790,883,966,1020
789,883,967,1021
789,883,967,1020
788,883,967,1020
789,882,967,1020
789,883,966,1020
788,882,967,1020
789,883,966,1020
788,882,967,1020
788,882,966,1020
788,883,966,1020
788,883,966,1021
787,882,965,1021
788,883,966,1020
789,881,966,1021
788,882,967,1020
788,881,966,1020
788,882,966,1020
787,882,967,1020
787,882,966,1020
789,882,966,1020
788,881,965,1021
789,882,966,1020
788,882,966,1021
788,882,966,1020
789,882,967,1021
789,882,966,1020
789,882,966,1020
788,882,966,1020
788,882,966,1021
789,882,967,1020
789,882,966,1020
788,882,966,1021
788,882,966,1021
788,881,967,1020
789,882,966,1021
789,883,966,1020
789,882,967,1021
788,881,967,1021
790,881,966,1021
789,883,966,1020
789,883,966,1021
788,883,967,1021
789,883,966,1020
789,882,966,1021
789,883,966,1021
788,882,967,1020
789,883,966,1020
788,882,966,1021
788,882,966,1021
788,882,966,1021
787,882,967,1021
787,881,966,1020
788,881,967,1020
788,882,966,1021
787,881,966,1021
788,881,966,1020
788,882,966,1020
789,882,965,1020
789,882,966,1020
788,882,967,1020
788,881,967,1020
787,882,966,1020
788,882,966,1021
789,882,966,1021
790,883,967,1020
789,883,965,1021
789,882,965,1020
790,882,966,1020
789,882,967,1021
790,882,967,1020
790,882,967,1020
790,883,967,1020
789,883,967,1020
790,882,966,1020
790,882,967,1020
790,883,966,1021
790,882,966,1020
790,883,967,1020
790,882,967,1021
789,882,967,1020
791,883,966,1020
790,882,967,1021
789,883,965,1020
790,883,967,1020
790,883,966,1020
791,882,966,1020
790,883,967,1021
790,883,965,1021
790,883,966,1020
790,882,967,1020
789,882,966,1020
789,882,966,1020
790,882,967,1020
788,882,966,1021
789,883,966,1020
789,883,966,1020
789,882,965,1021
788,882,966,1020
788,882,966,1021
788,882,966,1020
788,882,966,1020
