NO2,C2H5CH,VOC,CO,CLASS
833,899,960,1018,0
834,899,961,1017,0
833,899,960,1017,0
834,899,960,1018,0
834,899,960,1017,0
834,898,961,1018,0
834,898,962,1018,0
833,899,961,1019,0
833,899,961,1018,0
834,899,960,1018,0
834,899,961,1018,0
834,899,960,1018,0
834,899,961,1018,0
834,899,961,1018,0
833,899,960,1018,0
833,899,961,1018,0
834,898,961,1018,0
834,899,961,1017,0
834,899,961,1018,0
833,898,960,1017,0
833,898,962,1018,0
834,899,960,1018,0
833,898,960,1017,0
834,899,961,1018,0
832,898,960,1017,0
832,899,960,1018,0
834,899,960,1017,0
834,899,960,1018,0
833,899,960,1018,0
832,899,960,1018,0
833,899,960,1018,0
832,899,960,1018,0
833,898,960,1016,0
832,898,960,1017,0
833,899,959,1018,0
833,898,960,1017,0
832,899,960,1017,0
834,899,960,1017,0
833,899,958,1017,0
833,899,960,1017,0
833,899,960,1017,0
834,899,960,1017,0
833,899,960,1018,0
833,898,960,1018,0
833,899,959,1017,0
833,899,960,1018,0
832,899,959,1018,0
833,898,959,1018,0
833,899,959,1018,0
833,898,960,1017,0
833,899,959,1017,0
833,899,960,1018,0
833,898,959,1018,0
833,899,959,1017,0
833,898,960,1018,0
833,899,960,1017,0
834,898,960,1018,0
833,898,959,1018,0
833,899,958,1017,0
833,899,960,1018,0
833,898,959,1018,0
834,899,959,1018,0
833,899,960,1017,0
834,899,959,1017,0
833,899,959,1018,0
833,899,960,1017,0
833,899,960,1018,0
833,898,960,1017,0
833,899,959,1018,0
833,898,959,1018,0
834,898,960,1017,0
833,898,960,1018,0
834,899,959,1018,0
833,898,960,1017,0
834,899,960,1018,0
833,899,960,1017,0
834,898,960,1017,0
834,898,960,1018,0
834,899,959,1018,0
834,899,960,1018,0
833,897,960,1018,0
833,899,959,1018,0
833,898,959,1018,0
834,898,958,1018,0
833,899,960,1018,0
833,898,960,1018,0
834,899,960,1017,0
834,898,960,1018,0
834,898,959,1018,0
835,899,960,1018,0
836,899,959,1017,0
836,899,960,1018,0
835,899,960,1017,0
835,898,961,1018,0
835,898,961,1018,0
835,898,962,1018,0
835,899,961,1018,0
835,899,961,1018,0
834,898,961,1018,0
835,898,961,1018,0
834,899,961,1017,0
834,899,960,1018,0
833,898,961,1017,0
834,899,960,1017,0
834,898,961,1018,0
834,898,960,1017,0
833,898,960,1018,0
834,899,960,1018,0
834,898,961,1017,0
834,898,960,1018,0
834,899,960,1017,0
833,899,960,1018,0
835,898,961,1016,0
834,898,960,1018,0
834,898,960,1018,0
835,899,960,1018,0
834,899,961,1018,0
835,897,960,1017,0
835,897,961,1018,0
835,899,961,1018,0
834,898,961,1018,0
835,898,960,1018,0
833,897,961,1017,0
835,898,961,1018,0
834,898,960,1018,0
834,898,961,1018,0
833,897,961,1017,0
834,897,961,1018,0
834,898,961,1018,0
834,899,961,1017,0
834,898,960,1017,0
835,898,959,1018,0
834,899,960,1018,0
834,898,961,1018,0
